"","estimate","pt","pr","covariate.set","n","m"
"342",7.15817459259233,0.1,0.5,"Minimal",150,1000
"343",4.96975117773885,0.1,0.25,"Extended",150,1000
"344",5.11080922254506,0.1,0.25,"Minimal",150,1000
"345",6.16990764006837,0.1,0.5,"Extended",150,1000
"346",5.91605096980089,0.1,0.5,"Minimal",150,1000
"347",6.7821277778185,0.1,0.25,"Extended",150,1000
"348",6.6856809860974,0.1,0.25,"Minimal",150,1000
"349",7.33577074327107,0.1,0.5,"Extended",150,1000
"350",7.33286837953441,0.1,0.5,"Minimal",150,1000
"351",6.13173113914966,0.1,0.25,"Extended",150,1000
"352",6.37512137329681,0.1,0.25,"Minimal",150,1000
"353",6.35427412909998,0.1,0.5,"Extended",150,1000
"354",6.49233511044082,0.1,0.5,"Minimal",150,1000
"355",6.3336044513742,0.1,0.25,"Extended",150,1000
"356",6.14237459395715,0.1,0.25,"Minimal",150,1000
"357",6.30560747492584,0.1,0.5,"Extended",150,1000
"358",7.10147625400234,0.1,0.5,"Minimal",150,1000
"359",7.21202858885708,0.1,0.25,"Extended",150,1000
"360",7.26923911776688,0.1,0.25,"Minimal",150,1000
"361",6.26400532606171,0.1,0.5,"Extended",150,1000
"362",7.07333008923775,0.1,0.5,"Minimal",150,1000
"363",6.69787475632584,0.1,0.25,"Extended",150,1000
"364",6.47233890022153,0.1,0.25,"Minimal",150,1000
"365",7.49087796674519,0.1,0.5,"Extended",150,1000
"366",6.53240988894073,0.1,0.5,"Minimal",150,1000
"367",6.76221549253355,0.1,0.25,"Extended",150,1000
"368",6.90463059422641,0.1,0.25,"Minimal",150,1000
"369",6.63388147666175,0.1,0.5,"Extended",150,1000
"370",6.92571603694278,0.1,0.5,"Minimal",150,1000
"371",6.30617699757475,0.1,0.25,"Extended",150,1000
"372",6.39270752753543,0.1,0.25,"Minimal",150,1000
"373",5.7860947943286,0.1,0.5,"Extended",150,1000
"374",5.87489776389659,0.1,0.5,"Minimal",150,1000
"375",5.90703339211754,0.1,0.25,"Extended",150,1000
"376",6.02498259227102,0.1,0.25,"Minimal",150,1000
"377",4.84537961262683,0.1,0.5,"Extended",150,1000
"378",5.01128892393428,0.1,0.5,"Minimal",150,1000
"379",6.70020829805966,0.1,0.25,"Extended",150,1000
"380",6.51582071954551,0.1,0.25,"Minimal",150,1000
"381",7.65484969880701,0.1,0.5,"Extended",150,1000
"382",6.74510896175084,0.1,0.5,"Minimal",150,1000
"383",6.18879950545966,0.1,0.25,"Extended",150,1000
"384",6.68980044220299,0.1,0.25,"Minimal",150,1000
"385",5.90484805905536,0.1,0.5,"Extended",150,1000
"386",6.43734851643468,0.1,0.5,"Minimal",150,1000
"387",4.58367370940087,0.1,0.25,"Extended",150,1000
"388",5.00436247976629,0.1,0.25,"Minimal",150,1000
"389",6.95226867860933,0.1,0.5,"Extended",150,1000
"390",6.85057571596046,0.1,0.5,"Minimal",150,1000
"391",6.10696471357131,0.1,0.25,"Extended",150,1000
"392",6.01677930709446,0.1,0.25,"Minimal",150,1000
"393",7.18466554990888,0.1,0.5,"Extended",150,1000
"394",6.5178531315284,0.1,0.5,"Minimal",150,1000
"395",6.86562774219233,0.1,0.25,"Extended",150,1000
"396",6.84866268117446,0.1,0.25,"Minimal",150,1000
"397",7.14136243138403,0.1,0.5,"Extended",150,1000
"398",6.0703753292023,0.1,0.5,"Minimal",150,1000
"399",6.56617835751647,0.1,0.25,"Extended",150,1000
"400",6.71682589146973,0.1,0.25,"Minimal",150,1000
"401",6.91761936539586,0.1,0.5,"Extended",150,1000
"402",6.92839594136794,0.1,0.5,"Minimal",150,1000
"403",6.70971307252973,0.1,0.25,"Extended",150,1000
"404",6.47026603931127,0.1,0.25,"Minimal",150,1000
"405",8.01465083575668,0.1,0.5,"Extended",150,1000
"406",6.47202429636833,0.1,0.5,"Minimal",150,1000
"407",7.17394550529763,0.1,0.25,"Extended",150,1000
"408",7.11753734145722,0.1,0.25,"Minimal",150,1000
"409",5.76066377784065,0.1,0.5,"Extended",150,1000
"410",5.78153627097401,0.1,0.5,"Minimal",150,1000
"411",6.77005130623934,0.1,0.25,"Extended",150,1000
"412",6.77753151359806,0.1,0.25,"Minimal",150,1000
"413",6.27661985265722,0.1,0.5,"Extended",150,1000
"414",6.63080257703369,0.1,0.5,"Minimal",150,1000
"415",7.05346944136654,0.1,0.25,"Extended",150,1000
"416",7.5806184534885,0.1,0.25,"Minimal",150,1000
"417",5.7229852761689,0.1,0.5,"Extended",150,1000
"418",6.10072205503966,0.1,0.5,"Minimal",150,1000
"419",5.30645703722259,0.1,0.25,"Extended",150,1000
"420",5.70825216017969,0.1,0.25,"Minimal",150,1000
"421",5.3695125444191,0.1,0.5,"Extended",150,1000
"422",6.07357362938548,0.1,0.5,"Minimal",150,1000
"423",6.08632354359218,0.1,0.25,"Extended",150,1000
"424",6.02328926196661,0.1,0.25,"Minimal",150,1000
"425",7.03704806058485,0.1,0.5,"Extended",150,1000
"426",6.53004243830003,0.1,0.5,"Minimal",150,1000
"427",5.46016836595845,0.1,0.25,"Extended",150,1000
"428",5.46842757005884,0.1,0.25,"Minimal",150,1000
"429",7.5504861508331,0.1,0.5,"Extended",150,1000
"430",7.06153474180813,0.1,0.5,"Minimal",150,1000
"431",7.09623529747312,0.1,0.25,"Extended",150,1000
"432",6.28202065835196,0.1,0.25,"Minimal",150,1000
"433",7.03970257279801,0.1,0.5,"Extended",150,1000
"434",6.75379267996537,0.1,0.5,"Minimal",150,1000
"435",5.76196196633988,0.1,0.25,"Extended",150,1000
"436",5.62548822055563,0.1,0.25,"Minimal",150,1000
"437",6.9797100977454,0.1,0.5,"Extended",150,1000
"438",7.3954765622241,0.1,0.5,"Minimal",150,1000
"439",5.75783184023291,0.1,0.25,"Extended",150,1000
"440",5.87926747296114,0.1,0.25,"Minimal",150,1000
"441",7.16805067132947,0.1,0.5,"Extended",150,1000
"442",5.85224105770955,0.1,0.5,"Minimal",150,1000
"443",7.56014173588344,0.1,0.25,"Extended",150,1000
"444",7.44280217423571,0.1,0.25,"Minimal",150,1000
"445",7.16943095646091,0.1,0.5,"Extended",150,1000
"446",7.01704787562919,0.1,0.5,"Minimal",150,1000
"447",7.50227039255404,0.1,0.25,"Extended",150,1000
"448",7.70840194223973,0.1,0.25,"Minimal",150,1000
"449",6.70438844968698,0.1,0.5,"Extended",150,1000
"450",6.48214653768458,0.1,0.5,"Minimal",150,1000
"451",6.87235738644604,0.1,0.25,"Extended",150,1000
"452",6.90059648151081,0.1,0.25,"Minimal",150,1000
"453",7.87440260853295,0.1,0.5,"Extended",150,1000
"454",7.0083059793822,0.1,0.5,"Minimal",150,1000
"455",6.89786450508494,0.1,0.25,"Extended",150,1000
"456",6.68888804966641,0.1,0.25,"Minimal",150,1000
"457",6.88654853145772,0.1,0.5,"Extended",150,1000
"458",6.94023298709322,0.1,0.5,"Minimal",150,1000
"459",7.98894890169871,0.1,0.25,"Extended",150,1000
"460",8.05395957958597,0.1,0.25,"Minimal",150,1000
"461",8.92423288103041,0.1,0.5,"Extended",150,1000
"462",7.71977572943604,0.1,0.5,"Minimal",150,1000
"463",7.16404256343411,0.1,0.25,"Extended",150,1000
"464",7.346766807843,0.1,0.25,"Minimal",150,1000
"465",6.33540021133208,0.1,0.5,"Extended",150,1000
"466",6.40239767679922,0.1,0.5,"Minimal",150,1000
"467",6.08135413352647,0.1,0.25,"Extended",150,1000
"468",6.29977131956961,0.1,0.25,"Minimal",150,1000
"469",7.42352333108411,0.1,0.5,"Extended",150,1000
